om_droit,libelle,om_profil
1,animal,1
2,animal_espece,1
3,animal_race,1
4,animal_entree,1
5,animal_sortie,1
6,personne,1
7,facture,1
8,ville,1
9,rue,1
10,hebergement,1
11,sejour,1
12,sejour_tarif,1
13,soin,1
14,veterinaire,1
15,clinique,1
16,medicament,1
17,medicament_suivi,1
18,edition,1
19,gen,1
20,import,1
21,menu_administration,1
22,menu_parametrage,1
23,om_collectivite,1
24,om_collectivite_ajouter,1
25,om_collectivite_consulter,1
26,om_collectivite_modifier,1
27,om_collectivite_supprimer,1
28,om_collectivite_tab,1
29,om_dashboard,1
30,om_dashboard_ajouter,1
31,om_dashboard_consulter,1
32,om_dashboard_modifier,1
33,om_dashboard_supprimer,1
34,om_dashboard_tab,1
35,om_droit,1
36,om_droit_ajouter,1
37,om_droit_consulter,1
38,om_droit_modifier,1
39,om_droit_supprimer,1
40,om_droit_tab,1
41,om_etat,1
42,om_etat_ajouter,1
43,om_etat_consulter,1
44,om_etat_copier,1
45,om_etat_modifier,1
46,om_etat_previsualiser,1
47,om_etat_supprimer,1
48,om_etat_tab,1
49,om_lettretype,1
50,om_lettretype_ajouter,1
51,om_lettretype_consulter,1
52,om_lettretype_copier,1
53,om_lettretype_modifier,1
54,om_lettretype_previsualiser,1
55,om_lettretype_supprimer,1
56,om_lettretype_tab,1
57,om_logo,1
58,om_logo_ajouter,1
59,om_logo_consulter,1
60,om_logo_modifier,1
61,om_logo_supprimer,1
62,om_logo_tab,1
63,om_parametre,1
64,om_parametre_ajouter,1
65,om_parametre_consulter,1
66,om_parametre_modifier,1
67,om_parametre_supprimer,1
68,om_parametre_tab,1
69,om_permission,1
70,om_permission_ajouter,1
71,om_permission_consulter,1
72,om_permission_modifier,1
73,om_permission_supprimer,1
74,om_permission_tab,1
75,om_profil,1
76,om_profil_ajouter,1
77,om_profil_consulter,1
78,om_profil_modifier,1
79,om_profil_supprimer,1
80,om_profil_tab,1
81,om_requete,1
82,om_requete_ajouter,1
83,om_requete_consulter,1
84,om_requete_modifier,1
85,om_requete_supprimer,1
86,om_requete_tab,1
87,om_sig_extent,1
88,om_sig_extent_ajouter,1
89,om_sig_extent_consulter,1
90,om_sig_extent_modifier,1
91,om_sig_extent_supprimer,1
92,om_sig_extent_tab,1
93,om_sig_flux,1
94,om_sig_flux_ajouter,1
95,om_sig_flux_consulter,1
96,om_sig_flux_modifier,1
97,om_sig_flux_supprimer,1
98,om_sig_flux_tab,1
99,om_sig_map,1
100,om_sig_map_ajouter,1
101,om_sig_map_comp,1
102,om_sig_map_comp_ajouter,1
103,om_sig_map_comp_consulter,1
104,om_sig_map_comp_modifier,1
105,om_sig_map_comp_supprimer,1
106,om_sig_map_comp_tab,1
107,om_sig_map_consulter,1
108,om_sig_map_flux,1
109,om_sig_map_flux_ajouter,1
110,om_sig_map_flux_consulter,1
111,om_sig_map_flux_modifier,1
112,om_sig_map_flux_supprimer,1
113,om_sig_map_flux_tab,1
114,om_sig_map_modifier,1
115,om_sig_map_supprimer,1
116,om_sig_map_tab,1
117,om_sousetat,1
118,om_sousetat_ajouter,1
119,om_sousetat_consulter,1
120,om_sousetat_copier,1
121,om_sousetat_modifier,1
122,om_sousetat_supprimer,1
123,om_sousetat_tab,1
124,om_utilisateur,1
125,om_utilisateur_ajouter,1
126,om_utilisateur_consulter,1
127,om_utilisateur_modifier,1
128,om_utilisateur_supprimer,1
129,om_utilisateur_synchroniser,1
130,om_utilisateur_tab,1
131,om_widget,1
132,om_widget_ajouter,1
133,om_widget_consulter,1
134,om_widget_modifier,1
135,om_widget_supprimer,1
136,om_widget_tab,1
137,password,1
138,reqmo,1
139,animal,2
140,animal_espece,2
141,animal_race,2
142,animal_entree,2
143,animal_sortie,2
144,personne,2
145,facture,2
146,ville,2
147,rue,2
148,hebergement,2
149,sejour,2
150,sejour_tarif,2
151,soin,2
152,veterinaire,2
153,clinique,2
154,medicament,2
155,medicament_suivi,2
