om_permission,libelle,type
1,animal,gen
2,animal_espece,gen
3,animal_race,gen
4,animal_entree,gen
5,animal_sortie,gen
6,personne,gen
7,facture,gen
8,ville,gen
9,rue,gen
10,hebergement,gen
11,sejour,gen
12,sejour_tarif,gen
13,soin,gen
14,veterinaire,gen
15,clinique,gen
16,medicament,gen
17,medicament_suivi,gen
18,edition,gen
19,gen,gen
20,import,gen
21,menu_administration,gen
22,menu_parametrage,gen
23,om_collectivite,gen
24,om_collectivite_ajouter,gen
25,om_collectivite_consulter,gen
26,om_collectivite_modifier,gen
27,om_collectivite_supprimer,gen
28,om_collectivite_tab,gen
29,om_dashboard,gen
30,om_dashboard_ajouter,gen
31,om_dashboard_consulter,gen
32,om_dashboard_modifier,gen
33,om_dashboard_supprimer,gen
34,om_dashboard_tab,gen
35,om_droit,gen
36,om_droit_ajouter,gen
37,om_droit_consulter,gen
38,om_droit_modifier,gen
39,om_droit_supprimer,gen
40,om_droit_tab,gen
41,om_etat,gen
42,om_etat_ajouter,gen
43,om_etat_consulter,gen
44,om_etat_copier,gen
45,om_etat_modifier,gen
46,om_etat_previsualiser,gen
47,om_etat_supprimer,gen
48,om_etat_tab,gen
49,om_lettretype,gen
50,om_lettretype_ajouter,gen
51,om_lettretype_consulter,gen
52,om_lettretype_copier,gen
53,om_lettretype_modifier,gen
54,om_lettretype_previsualiser,gen
55,om_lettretype_supprimer,gen
56,om_lettretype_tab,gen
57,om_logo,gen
58,om_logo_ajouter,gen
59,om_logo_consulter,gen
60,om_logo_modifier,gen
61,om_logo_supprimer,gen
62,om_logo_tab,gen
63,om_parametre,gen
64,om_parametre_ajouter,gen
65,om_parametre_consulter,gen
66,om_parametre_modifier,gen
67,om_parametre_supprimer,gen
68,om_parametre_tab,gen
69,om_permission,gen
70,om_permission_ajouter,gen
71,om_permission_consulter,gen
72,om_permission_modifier,gen
73,om_permission_supprimer,gen
74,om_permission_tab,gen
75,om_profil,gen
76,om_profil_ajouter,gen
77,om_profil_consulter,gen
78,om_profil_modifier,gen
79,om_profil_supprimer,gen
80,om_profil_tab,gen
81,om_requete,gen
82,om_requete_ajouter,gen
83,om_requete_consulter,gen
84,om_requete_modifier,gen
85,om_requete_supprimer,gen
86,om_requete_tab,gen
87,om_sig_extent,gen
88,om_sig_extent_ajouter,gen
89,om_sig_extent_consulter,gen
90,om_sig_extent_modifier,gen
91,om_sig_extent_supprimer,gen
92,om_sig_extent_tab,gen
93,om_sig_flux,gen
94,om_sig_flux_ajouter,gen
95,om_sig_flux_consulter,gen
96,om_sig_flux_modifier,gen
97,om_sig_flux_supprimer,gen
98,om_sig_flux_tab,gen
99,om_sig_map,gen
100,om_sig_map_ajouter,gen
101,om_sig_map_comp,gen
102,om_sig_map_comp_ajouter,gen
103,om_sig_map_comp_consulter,gen
104,om_sig_map_comp_modifier,gen
105,om_sig_map_comp_supprimer,gen
106,om_sig_map_comp_tab,gen
107,om_sig_map_consulter,gen
108,om_sig_map_flux,gen
109,om_sig_map_flux_ajouter,gen
110,om_sig_map_flux_consulter,gen
111,om_sig_map_flux_modifier,gen
112,om_sig_map_flux_supprimer,gen
113,om_sig_map_flux_tab,gen
114,om_sig_map_modifier,gen
115,om_sig_map_supprimer,gen
116,om_sig_map_tab,gen
117,om_sousetat,gen
118,om_sousetat_ajouter,gen
119,om_sousetat_consulter,gen
120,om_sousetat_copier,gen
121,om_sousetat_modifier,gen
122,om_sousetat_supprimer,gen
123,om_sousetat_tab,gen
124,om_utilisateur,gen
125,om_utilisateur_ajouter,gen
126,om_utilisateur_consulter,gen
127,om_utilisateur_modifier,gen
128,om_utilisateur_supprimer,gen
129,om_utilisateur_synchroniser,gen
130,om_utilisateur_tab,gen
131,om_widget,gen
132,om_widget_ajouter,gen
133,om_widget_consulter,gen
134,om_widget_modifier,gen
135,om_widget_supprimer,gen
136,om_widget_tab,gen
137,password,gen
138,reqmo,gen
